Directorate,Updated,TransNo,Service,Cost Centre,Supplier Name,Amount,Type
"Policy, Performance & Planning",9/2/2009,2612469,Corporate Comms & Marketing,ML15,Baylis Media Ltd Maidenhead Advertiser,"9,270.00",Revenue
"Policy, Performance & Planning",10/27/2009,2623283,Corporate Comms & Marketing,ML15,Baylis Media Ltd Maidenhead Advertiser,"9,380.00",Revenue
"Policy, Performance & Planning",11/13/2009,2626227,Corporate Comms & Marketing,ML15,Product Development Corporation,"7,012.41",Revenue
"Policy, Performance & Planning",10/26/2009,2623244,Corporate Comms & Marketing,ML15,Talking Newspaper Enterprises Ltd,911.26,Revenue
"Policy, Performance & Planning",12/18/2009,2633206,Corporate Management,MY10,Blandy & Blandy,"1,165.80",Revenue
"Policy, Performance & Planning",10/6/2009,2618672,Corporate Management,MY10,Bostock Marketing Group,"6,675.00",Revenue
"Policy, Performance & Planning",12/17/2009,2632166,Corporate Management,MY10,Bracknell Forest Borough Council,"3,435.25",Revenue
"Policy, Performance & Planning",10/8/2009,2619019,Corporate Management,MY10,KPMG LLP,"20,000.00",Revenue
"Policy, Performance & Planning",10/19/2009,2620180,Corporate Management,MY10,KPMG LLP,"47,000.00",Revenue
"Policy, Performance & Planning",10/19/2009,2619197,Corporate Management,MY10,Osborne Clarke,"2,310.00",Revenue
"Policy, Performance & Planning",12/3/2009,2629858,Corporate Management,MY10,The Copyright Licensing Agency Ltd,"15,444.00",Revenue
"Policy, Performance & Planning",11/13/2009,2626136,Corporate Performance & Developmt,MA06,Interactive Business Events,650,Revenue
"Policy, Performance & Planning",10/21/2009,2622244,Corporate Performance & Developmt,MA06,North Harbour Consulting Limited,"3,162.37",Revenue
"Policy, Performance & Planning",11/26/2009,2628639,Corporate Performance & Developmt,MA06,North Harbour Consulting Limited,"6,042.99",Revenue
"Policy, Performance & Planning",11/26/2009,2628815,Corporate Performance & Developmt,HC30,Shropshire County Council,"2,268.26",Revenue
"Policy, Performance & Planning",11/25/2009,2628571,Development Control,MB30,Idox Software Limited,"2,850.00",Revenue
"Policy, Performance & Planning",10/8/2009,2619375,Development Control,MB30,Kofax UK Limited,956,Revenue
"Policy, Performance & Planning",11/17/2009,2626716,Development Control,MB30,Oxford Brookes University,"2,810.00",Revenue
"Policy, Performance & Planning",10/28/2009,2623165,Electoral Services,MJ50,Data Tracking,"5,500.00",Revenue
"Policy, Performance & Planning",11/25/2009,2628573,Electoral Services,MJ50,Data Tracking,"7,231.00",Revenue
"Policy, Performance & Planning",11/26/2009,2628569,Electoral Services,MA52,Halarose of Oxford Limited,"7,387.00",Revenue
"Policy, Performance & Planning",9/15/2009,2614480,Electoral Services,MJ50,Premier Concepts,"1,690.00",Revenue
"Policy, Performance & Planning",9/18/2009,2615423,Electoral Services,MJ50,Print UK Com,"6,382.98",Revenue
"Policy, Performance & Planning",10/28/2009,2623609,Electoral Services,MJ50,Print UK Com,542.18,Revenue
"Policy, Performance & Planning",9/22/2009,2615888,Electoral Services,MJ50,Royal Mail,"10,115.12",Revenue
"Policy, Performance & Planning",9/30/2009,2617553,Electoral Services,MJ50,Royal Mail,"2,765.81",Revenue
"Policy, Performance & Planning",10/28/2009,2623610,Electoral Services,MJ50,Royal Mail,"3,155.36",Revenue
"Policy, Performance & Planning",12/3/2009,2629804,Electoral Services,MJ50,Royal Mail,773.52,Revenue
"Policy, Performance & Planning",10/17/2009,2621219,Electoral Services,MA52,The Association of Electoral Administrators,625,Revenue
"Policy, Performance & Planning",9/12/2009,2614256,General Grants,MS10,Maidenhead Citizens Advice Bureau,"22,778.50",Revenue
"Policy, Performance & Planning",9/30/2009,2616966,General Grants,MS10,Maidenhead Citizens Advice Bureau,"22,778.50",Revenue
"Policy, Performance & Planning",10/14/2009,2620420,General Grants,MS10,Windsor & Maidenhead Voluntary Action,"39,000.00",Revenue
"Policy, Performance & Planning",9/24/2009,2616251,General Grants,MS10,Windsor Fringe,"2,500.00",Revenue
"Policy, Performance & Planning",11/18/2009,2626891,Joint Strategic Planning,PB20,Environmental Resources Management,623.5,Revenue
"Policy, Performance & Planning",12/21/2009,2633409,Joint Strategic Planning,PB20,Indzine Limited,"1,097.50",Revenue
"Policy, Performance & Planning",9/18/2009,2615330,Joint Strategic Planning,MF92,Richard Tyndall Ltd,888,Revenue
"Policy, Performance & Planning",12/14/2009,2631728,Joint Strategic Planning,PB20,Surrey County Council,"2,300.00",Revenue
"Policy, Performance & Planning",11/5/2009,2624095,Joint Strategic Planning,MF92,Thames Valley Economic Partnership Ltd,"25,000.00",Revenue
"Policy, Performance & Planning",9/18/2009,2615424,Joint Strategic Planning,PB20,W S Atkins (Services) Ltd,"4,694.44",Revenue
"Policy, Performance & Planning",10/15/2009,2620902,Joint Strategic Planning,PB20,W S Atkins (Services) Ltd,"4,694.44",Revenue
"Policy, Performance & Planning",11/23/2009,2627584,Joint Strategic Planning,PB20,W S Atkins (Services) Ltd,"4,694.44",Revenue
"Policy, Performance & Planning",12/18/2009,2633221,Joint Strategic Planning,PB20,W S Atkins (Services) Ltd,"4,694.44",Revenue
"Policy, Performance & Planning",10/11/2009,2619143,Joint Strategic Planning,MF92,Wycombe District Council,"22,842.00",Revenue
"Policy, Performance & Planning",11/16/2009,2626147,Local Area Agreements,MT77,Community Council For Berkshire,"2,040.00",Revenue
"Policy, Performance & Planning",11/12/2009,2625640,Local Area Agreements,MT77,Windsor & Maidenhead Voluntary Action,"5,355.00",Revenue
"Policy, Performance & Planning",11/23/2009,2627785,Local Area Agreements,MT77,Windsor & Maidenhead Voluntary Action,"1,100.00",Revenue
"Policy, Performance & Planning",10/5/2009,2618430,Local Area Agreements,MT77,Windsor & Maidenhead Volunteer Centre,"5,355.00",Revenue
"Policy, Performance & Planning",11/5/2009,2624875,Member Services,MJ20,AA Signs,"2,200.00",Revenue
"Policy, Performance & Planning",10/14/2009,2619794,Member Services,MJ30,Ambleglow Ltd,"1,229.39",Revenue
"Policy, Performance & Planning",11/16/2009,2625424,Member Services,MJ20,Ambleglow Ltd,"2,472.76",Revenue
"Policy, Performance & Planning",11/17/2009,2626610,Member Services,MJ20,Ambleglow Ltd,"1,704.52",Revenue
"Policy, Performance & Planning",10/27/2009,2605476,Member Services,MA55,Banner Business Services Ltd,790.21,Revenue
"Policy, Performance & Planning",11/16/2009,2626430,Member Services,MA51,Dell  Corporation Ltd,533.1,Revenue
"Policy, Performance & Planning",11/26/2009,2627715,Member Services,MA51,LAN 2 LAN Limited,"5,286.60",Revenue
"Policy, Performance & Planning",9/15/2009,2614487,Member Services,MJ20,Lex Autolease Limited,518.99,Revenue
"Policy, Performance & Planning",11/16/2009,2626228,Member Services,MJ30,Newspaper Licensing Agency,"1,198.58",Revenue
"Policy, Performance & Planning",11/2/2009,2623995,Member Services,MJ20,Premium Promotions Ltd,"1,165.00",Revenue
"Policy, Performance & Planning",12/18/2009,2632520,Member Services,MJ30,Sound Advice PA Installations Ltd,"2,322.13",Revenue
"Policy, Performance & Planning",12/9/2009,2630954,Member Services,MJ20,Sun Traffic Signals Ltd,690,Revenue
"Policy, Performance & Planning",11/25/2009,2628435,Member Services,MJ20,Vincehire Ltd,"7,600.00",Revenue
"Policy, Performance & Planning",9/8/2009,2612977,Member Services,MJ30,Vodafone Limited (Corporate),561.54,Revenue
"Policy, Performance & Planning",11/30/2009,2629112,Member Services,MJ30,Vodafone Limited (Corporate),704.25,Revenue
"Policy, Performance & Planning",9/1/2009,2612109,Partnerships,HA38,80:20 Performance Solutions,"1,500.00",Revenue
"Policy, Performance & Planning",12/2/2009,2628781,Partnerships,HA35,Bridge Trust Thames Valley,"1,500.00",Revenue
"Policy, Performance & Planning",10/27/2009,2623308,Partnerships,HA35,Eureka Design Ltd,802.5,Revenue
"Policy, Performance & Planning",9/8/2009,2612641,Partnerships,HA35,Richard Clark Training,750,Revenue
"Policy, Performance & Planning",10/15/2009,2620367,Partnerships,HA35,Richard Clark Training,500,Revenue
"Policy, Performance & Planning",11/18/2009,2627030,Partnerships,HA38,Richard Clark Training,500,Revenue
"Policy, Performance & Planning",10/20/2009,2621797,Partnerships,HA38,Sharon Connolly,"1,350.00",Revenue
"Policy, Performance & Planning",10/7/2009,2618477,Partnerships,HA38,St Marys Church,"1,131.00",Revenue
"Policy, Performance & Planning",12/14/2009,2630726,Planning & Development Team,CG27,Land Use Consultants LTD,"8,107.50",Capital
"Policy, Performance & Planning",9/29/2009,2617386,Planning & Development Team,CG20,WSP Development & Transportation,"39,665.00",Capital
"Policy, Performance & Planning",9/29/2009,2617387,Planning & Development Team,CG20,WSP Development & Transportation,"14,000.00",Capital
"Policy, Performance & Planning",11/12/2009,2625800,Planning & Development Team,CG20,WSP Development & Transportation,"14,000.00",Capital
"Policy, Performance & Planning",11/25/2009,2628645,Planning & Development Team,CG20,WSP Development & Transportation,"8,985.00",Capital
"Policy, Performance & Planning",11/25/2009,2628646,Planning & Development Team,CG20,WSP Development & Transportation,"14,000.00",Capital
"Policy, Performance & Planning",11/25/2009,2628571,Planning Enforcement,MB06,Idox Software Limited,950,Revenue
"Policy, Performance & Planning",11/6/2009,2624473,Planning Policy,MB40,University Of Reading,"2,825.00",Revenue
"Policy, Performance & Planning",9/7/2009,2612950,Town & Country Planning,PB10,Ambleglow Ltd,568.48,Revenue
"Policy, Performance & Planning",9/7/2009,2612951,Town & Country Planning,PB10,Ambleglow Ltd,702.32,Revenue
"Policy, Performance & Planning",9/19/2009,2615500,Town & Country Planning,PB10,Ambleglow Ltd,561.64,Revenue
"Policy, Performance & Planning",10/8/2009,2619354,Town & Country Planning,PB10,Ambleglow Ltd,866.2,Revenue
"Policy, Performance & Planning",11/2/2009,2623957,Town & Country Planning,PB10,Ambleglow Ltd,683.88,Revenue
"Policy, Performance & Planning",11/3/2009,2624403,Town & Country Planning,PB10,Ambleglow Ltd,696.52,Revenue
"Policy, Performance & Planning",11/4/2009,2624599,Town & Country Planning,PB10,Ambleglow Ltd,537.4,Revenue
"Policy, Performance & Planning",11/27/2009,2628956,Town & Country Planning,PB10,Ambleglow Ltd,561.64,Revenue
"Policy, Performance & Planning",12/7/2009,2630377,Town & Country Planning,PB10,Ambleglow Ltd,677.04,Revenue
"Policy, Performance & Planning",12/15/2009,2631929,Town & Country Planning,PB10,Ambleglow Ltd,641.2,Revenue
"Policy, Performance & Planning",11/4/2009,2624483,Town & Country Planning,PB10,Baylis Media Ltd Maidenhead Advertiser,600,Revenue
"Policy, Performance & Planning",10/19/2009,2621490,Town & Country Planning,PB10,Building Design Partnership,"10,000.00",Revenue
"Policy, Performance & Planning",9/4/2009,2612766,Town & Country Planning,PB10,Building Research Establishment Ltd (BRE),"1,475.00",Revenue
"Policy, Performance & Planning",9/4/2009,2612767,Town & Country Planning,PB10,Building Research Establishment Ltd (BRE),"3,750.00",Revenue
"Policy, Performance & Planning",9/14/2009,2614184,Town & Country Planning,PB10,DTZ,"7,000.00",Revenue
"Policy, Performance & Planning",10/20/2009,2621803,Town & Country Planning,PB10,DTZ,"10,090.90",Revenue
"Policy, Performance & Planning",9/8/2009,2613303,Town & Country Planning,PD20,ISS Waterers Landscape,597.28,Revenue
"Policy, Performance & Planning",12/18/2009,2632959,Town & Country Planning,PB10,Jacobs Babtie,"10,333.33",Revenue
"Policy, Performance & Planning",9/18/2009,2615121,Town & Country Planning,PB17,Limehouse Software Ltd,"8,627.62",Revenue
"Policy, Performance & Planning",12/3/2009,2629740,Town & Country Planning,PB17,Nathaniel Lichfield and Partners Limited,"4,950.00",Revenue
"Policy, Performance & Planning",12/3/2009,2629742,Town & Country Planning,PB17,Nathaniel Lichfield and Partners Limited,"4,950.00",Revenue
"Policy, Performance & Planning",11/17/2009,2626267,Town & Country Planning,PB17,Oxfordshire County Council,"9,415.00",Revenue
"Policy, Performance & Planning",12/15/2009,2631672,Town & Country Planning,PB17,Oxfordshire County Council,900,Revenue
"Policy, Performance & Planning",10/13/2009,2620128,Town & Country Planning,PB10,Printing.com@Grayscale Design,"2,647.00",Revenue
"Policy, Performance & Planning",11/4/2009,2624355,Town & Country Planning,PB17,Reading Borough Council,"21,788.51",Revenue
"Policy, Performance & Planning",12/22/2009,2633619,Town & Country Planning,PB10,Valuation Office Agency,"1,500.00",Revenue
"Policy, Performance & Planning",12/22/2009,2633620,Town & Country Planning,PB10,Valuation Office Agency,"1,440.00",Revenue
"Policy, Performance & Planning",11/10/2009,2623959,Town & Country Planning,PD20,Windowflowers Ltd,"13,500.00",Revenue
"Policy, Performance & Planning",9/4/2009,2612608,Town Management,LT50,Adspay Ltd,822.5,Revenue
"Policy, Performance & Planning",9/25/2009,2615485,Town Management,LT50,Adspay Ltd,861.25,Revenue
"Policy, Performance & Planning",10/1/2009,2616921,Town Management,LT50,Adspay Ltd,622.5,Revenue
"Policy, Performance & Planning",10/13/2009,2620142,Town Management,LT50,Adspay Ltd,683.75,Revenue
"Policy, Performance & Planning",10/28/2009,2622577,Town Management,LT50,Adspay Ltd,946.25,Revenue
"Policy, Performance & Planning",12/1/2009,2629278,Town Management,LT50,Adspay Ltd,"1,716.25",Revenue
"Policy, Performance & Planning",11/16/2009,2626471,Town Management,LW30,Axa Sun Life PLC,504,Revenue
"Policy, Performance & Planning",10/6/2009,2618700,Town Management,LW30,Bradzone Ltd,"1,280.00",Revenue
"Policy, Performance & Planning",10/6/2009,2618702,Town Management,LW30,Bradzone Ltd,"1,600.00",Revenue
"Policy, Performance & Planning",11/16/2009,2626463,Town Management,LW30,Bradzone Ltd,"1,600.00",Revenue
"Policy, Performance & Planning",11/16/2009,2626465,Town Management,LW30,Bradzone Ltd,"1,280.00",Revenue
"Policy, Performance & Planning",12/16/2009,2632404,Town Management,LW30,Bradzone Ltd,"1,280.00",Revenue
"Policy, Performance & Planning",10/15/2009,2620910,Town Management,LT71,City Sightseeing Ltd,"1,836.20",Revenue
"Policy, Performance & Planning",12/22/2009,2633229,Town Management,LT71,City Sightseeing Ltd,"2,405.50",Revenue
"Policy, Performance & Planning",12/17/2009,2632739,Town Management,LT50,East Midlands Tourism,"2,000.00",Revenue
"Policy, Performance & Planning",10/13/2009,2620122,Town Management,LT71,EPI Coaches Ltd,730,Revenue
"Policy, Performance & Planning",11/12/2009,2625934,Town Management,LW20,Families Thames Valley East,"1,000.00",Revenue
"Policy, Performance & Planning",10/8/2009,2619002,Town Management,LT71,First Beeline Buses Ltd,"1,344.96",Revenue
"Policy, Performance & Planning",12/3/2009,2629783,Town Management,LT71,First Beeline Buses Ltd,736.74,Revenue
"Policy, Performance & Planning",10/28/2009,2622566,Town Management,LT71,Harte & Garter Hotel and Spa,652.18,Revenue
"Policy, Performance & Planning",9/2/2009,2612482,Town Management,LT50,KMD Visual Communications,870,Revenue
"Policy, Performance & Planning",10/13/2009,2620121,Town Management,LT50,KMD Visual Communications,"1,114.00",Revenue
"Policy, Performance & Planning",12/3/2009,2629571,Town Management,LT50,KMD Visual Communications,"1,876.00",Revenue
"Policy, Performance & Planning",12/3/2009,2629572,Town Management,LT50,KMD Visual Communications,640,Revenue
"Policy, Performance & Planning",12/22/2009,2633458,Town Management,LW15,Lamps & Tubes Illuminations Ltd,"7,250.00",Revenue
"Policy, Performance & Planning",12/22/2009,2633459,Town Management,LW15,Lamps & Tubes Illuminations Ltd,"4,000.00",Revenue
"Policy, Performance & Planning",12/22/2009,2633460,Town Management,LW15,Lamps & Tubes Illuminations Ltd,"6,500.00",Revenue
"Policy, Performance & Planning",9/10/2009,2613582,Town Management,LT71,Legoland Windsor Park Ltd,"2,021.74",Revenue
"Policy, Performance & Planning",9/25/2009,2616348,Town Management,LT71,Legoland Windsor Park Ltd,"6,826.09",Revenue
"Policy, Performance & Planning",11/21/2009,2627706,Town Management,LT71,Legoland Windsor Park Ltd,"1,386.96",Revenue
"Policy, Performance & Planning",11/2/2009,2624047,Town Management,LT50,Live Tourism Ltd,"8,045.00",Revenue
"Policy, Performance & Planning",10/6/2009,2618692,Town Management,LW20,Messages PR,575,Revenue
"Policy, Performance & Planning",10/28/2009,2622564,Town Management,LT50,Miss Ps Edgar T/As Pr Matters,"4,159.00",Revenue
"Policy, Performance & Planning",9/4/2009,2612544,Town Management,LT71,National Express,951.43,Revenue
"Policy, Performance & Planning",10/8/2009,2618936,Town Management,LT71,National Express,667.42,Revenue
"Policy, Performance & Planning",11/6/2009,2624982,Town Management,LT71,National Express,702.04,Revenue
"Policy, Performance & Planning",12/4/2009,2630106,Town Management,LT71,National Express,959.69,Revenue
"Policy, Performance & Planning",11/6/2009,2624935,Town Management,LW20,Printing.com@Grayscale Design,505.8,Revenue
"Policy, Performance & Planning",12/1/2009,2629306,Town Management,LT50,Pureprint Group,"21,332.00",Revenue
"Policy, Performance & Planning",11/12/2009,2625936,Town Management,LW20,Signpoint,620,Revenue
"Policy, Performance & Planning",9/8/2009,2613321,Town Management,LT71,The Leisure Pass Group Ltd,"1,763.75",Revenue
"Policy, Performance & Planning",10/1/2009,2617838,Town Management,LT71,The Thames & Chiltern Tourist Guides Association,506.5,Revenue
"Policy, Performance & Planning",10/1/2009,2617845,Town Management,LT71,Thorpe Park Operations,"1,278.26",Revenue
"Policy, Performance & Planning",10/28/2009,2623334,Town Management,LT71,Thorpe Park Operations,730.43,Revenue
"Policy, Performance & Planning",10/22/2009,2622599,Town Management,LT50,Tourism South East,"1,191.00",Revenue
"Policy, Performance & Planning",10/13/2009,2620120,Town Management,LT50,Ukinbound,699,Revenue
"Policy, Performance & Planning",10/16/2009,2621055,Town Management,LT71,Visit Britain,535.13,Revenue
"Policy, Performance & Planning",11/19/2009,2627240,Town Management,LT71,Windsor Equestrian Promotions Ltd,"14,842.54",Revenue
"Policy, Performance & Planning",12/22/2009,2633236,Town Management,LT71,Windsor Fringe,"1,956.91",Revenue
"Policy, Performance & Planning",12/7/2009,2630376,Transport Policy & Implementation,MB45,ACT,590,Revenue
"Policy, Performance & Planning",10/13/2009,2620047,Transport Policy & Implementation,PT60,Eureka Design Ltd,"1,042.00",Revenue
"Policy, Performance & Planning",10/30/2009,2623967,Transport Policy & Implementation,MB45,Guildford College of Further & Higher Education,"1,695.00",Revenue
"Policy, Performance & Planning",10/31/2009,2622930,Transport Policy & Implementation,PT60,Momo Theatre Company,600,Revenue
"Policy, Performance & Planning",11/12/2009,2625963,Transport Policy & Implementation,MB45,Product Development Corporation,"1,512.60",Revenue
"Policy, Performance & Planning",11/16/2009,2626502,Transport Policy & Implementation,PT60,Product Development Corporation,"1,815.12",Revenue
Resources,11/25/2009,2628635,Accountancy Division,MC70,Agresso Limited,700,Revenue
Resources,11/25/2009,2628636,Accountancy Division,MC70,Agresso Limited,700,Revenue
Resources,9/24/2009,2612454,Accountancy Division,MC70,Ambleglow Ltd,837.04,Revenue
Resources,9/1/2009,2611818,Accountancy Division,MC70,CIPFA,800,Revenue
Resources,11/23/2009,2626934,Accountancy Division,MC70,CIPFA Business Limited,"2,600.00",Revenue
Resources,12/16/2009,2632466,Accountancy Division,MC70,CIPFA Business Limited,520,Revenue
Resources,9/24/2009,2616423,Accountancy Division,MC71,Dell  Corporation Ltd,644.4,Revenue
Resources,11/19/2009,2627363,Accountancy Division,MC70,Dell  Corporation Ltd,533.1,Revenue
Resources,9/3/2009,2612621,Accountancy Division,MC70,FTC Kaplan,"2,208.75",Revenue
Resources,9/30/2009,2617153,Accountancy Division,MC70,Pertemps Recruitment Partnership,"1,514.40",Revenue
Resources,9/30/2009,2617154,Accountancy Division,MC70,Pertemps Recruitment Partnership,"3,028.80",Revenue
Resources,9/7/2009,2612568,Audit and Risk Management,MC15,Badenoch & Clark,863.5,Revenue
Resources,9/10/2009,2613686,Audit and Risk Management,MC15,Badenoch & Clark,"1,062.11",Revenue
Resources,9/17/2009,2615194,Audit and Risk Management,MC15,Badenoch & Clark,"1,070.74",Revenue
Resources,9/29/2009,2615905,Audit and Risk Management,MC15,Badenoch & Clark,"1,053.47",Revenue
Resources,9/29/2009,2617379,Audit and Risk Management,MC15,Badenoch & Clark,"1,070.74",Revenue
Resources,10/20/2009,2620378,Audit and Risk Management,MC15,Badenoch & Clark,"1,018.93",Revenue
Resources,10/20/2009,2621054,Audit and Risk Management,MC15,Badenoch & Clark,"1,079.38",Revenue
Resources,10/26/2009,2622938,Audit and Risk Management,MC15,Badenoch & Clark,"1,070.74",Revenue
Resources,11/6/2009,2624620,Audit and Risk Management,MC15,Badenoch & Clark,"1,036.20",Revenue
Resources,11/16/2009,2625550,Audit and Risk Management,MC15,Badenoch & Clark,"1,053.47",Revenue
Resources,11/20/2009,2627263,Audit and Risk Management,MC15,Badenoch & Clark,"1,070.74",Revenue
Resources,11/20/2009,2627272,Audit and Risk Management,MC15,Badenoch & Clark,"1,070.74",Revenue
Resources,11/25/2009,2628651,Audit and Risk Management,MC15,Badenoch & Clark,"1,053.47",Revenue
Resources,12/8/2009,2630439,Audit and Risk Management,MC15,Badenoch & Clark,"1,079.38",Revenue
Resources,12/21/2009,2633146,Audit and Risk Management,MC15,Badenoch & Clark,"1,139.82",Revenue
Resources,12/21/2009,2633340,Audit and Risk Management,MC15,Badenoch & Clark,"1,018.93",Revenue
Resources,10/22/2009,2620513,Audit and Risk Management,MC16,Chebsey Law Limited,"64,698.70",Revenue
Resources,10/20/2009,2620602,Audit and Risk Management,MC16,Chebsey Law Limited,"1,427.50",Revenue
Resources,10/20/2009,2617840,Audit and Risk Management,MC57,J C Applications Development,"5,726.00",Revenue
Resources,10/26/2009,2619654,Audit and Risk Management,MC57,J C Applications Development,"3,408.00",Revenue
Resources,12/21/2009,2632918,Audit and Risk Management,MC57,J C Applications Development,"3,230.00",Revenue
Resources,12/10/2009,2631030,Audit and Risk Management,MC15,The Institute of Internal Auditors-UK and Ireland,"2,090.00",Revenue
Resources,9/2/2009,2611328,Audit and Risk Management,MC15,Wishtrac House Limited,596.76,Revenue
Resources,11/2/2009,2624092,Business Improvement,CN27,3c Technology Limited,908,Capital
Resources,11/19/2009,2627330,Business Improvement,CP03,ANS Group Plc,"1,279.20",Capital
Resources,12/3/2009,2629807,Business Improvement,CP03,Arcus Global Limited,"1,530.00",Capital
Resources,9/18/2009,2615496,Business Improvement,CP22,Astun Technology Ltd,"8,950.00",Capital
Resources,10/15/2009,2620735,Business Improvement,CP22,Astun Technology Ltd,"7,500.00",Capital
Resources,9/15/2009,2613467,Business Improvement,CP03,Avocent Software Limited,950,Capital
Resources,10/6/2009,2618621,Business Improvement,CP03,Avocent Software Limited,"3,900.00",Capital
Resources,12/9/2009,2629639,Business Improvement,CP03,Avocent Software Limited,850,Capital
Resources,10/12/2009,2619762,Business Improvement,CN04,British Telecommunications Plc,"25,975.56",Capital
Resources,12/15/2009,2631918,Business Improvement,CN04,BT iNet,"1,381.34",Capital
Resources,9/7/2009,2612937,Business Improvement,MC28,Capita Training Ltd,605,Revenue
Resources,9/2/2009,2612394,Business Improvement,CP03,Dell  Corporation Ltd,"1,677.90",Capital
Resources,9/21/2009,2615854,Business Improvement,CP03,Dell  Corporation Ltd,"1,023.45",Capital
Resources,9/28/2009,2617082,Business Improvement,CP03,Dell  Corporation Ltd,"1,058.40",Capital
Resources,9/30/2009,2617632,Business Improvement,CP03,Dell  Corporation Ltd,"1,011.45",Capital
Resources,10/6/2009,2618648,Business Improvement,CP03,Dell  Corporation Ltd,"1,722.60",Capital
Resources,11/16/2009,2626421,Business Improvement,CP03,Dell  Corporation Ltd,"1,046.40",Capital
Resources,11/16/2009,2626427,Business Improvement,CP03,Dell  Corporation Ltd,533.1,Capital
Resources,12/2/2009,2629659,Business Improvement,CP03,Dell  Corporation Ltd,577.6,Capital
Resources,12/16/2009,2632541,Business Improvement,CP03,Dell  Corporation Ltd,"1,011.45",Capital
Resources,12/17/2009,2632782,Business Improvement,CP03,Dell  Corporation Ltd,522.42,Capital
Resources,9/23/2009,2616084,Business Improvement,CN27,Equanet,"3,000.00",Capital
Resources,10/26/2009,2623062,Business Improvement,CP03,Equanet,567.98,Capital
Resources,10/1/2009,2618093,Business Improvement,MC28,Equanet,"1,083.88",Revenue
Resources,11/17/2009,2626443,Business Improvement,CP22,ESRI (UK),"12,980.00",Capital
Resources,12/21/2009,2633433,Business Improvement,CP22,ESRI (UK),"3,042.70",Capital
Resources,9/30/2009,2617648,Business Improvement,CN27,Frontier Software plc,"2,000.00",Capital
Resources,11/19/2009,2627293,Business Improvement,CP03,Hewlett Packard Ltd,816,Capital
Resources,12/15/2009,2631921,Business Improvement,CN14,Hyperwave Limited,"1,500.00",Capital
Resources,11/2/2009,2624118,Business Improvement,CP03,Idox Software Limited,"1,437.50",Capital
Resources,10/2/2009,2615497,Business Improvement,MC28,In4tek Ltd,"2,060.37",Revenue
Resources,9/11/2009,2614194,Business Improvement,CN14,Intercept IT Ltd,"2,000.00",Capital
Resources,10/2/2009,2617068,Business Improvement,CN27,Intercept IT Ltd,"4,830.06",Capital
Resources,10/2/2009,2617068,Business Improvement,CP03,Intercept IT Ltd,"23,591.94",Capital
Resources,11/4/2009,2624580,Business Improvement,CP03,Intercept IT Ltd,505,Capital
Resources,12/14/2009,2631661,Business Improvement,CN27,Intercept IT Ltd,"1,000.00",Capital
Resources,12/16/2009,2632445,Business Improvement,CP03,Intercept IT Ltd,"4,000.00",Capital
Resources,12/21/2009,2633427,Business Improvement,CN27,Intercept IT Ltd,"1,500.00",Capital
Resources,10/19/2009,2621442,Business Improvement,CN14,New4 Ltd,"6,100.00",Capital
Resources,9/2/2009,2581823,Business Improvement,MC28,Pertemps Recruitment Partnership,992.88,Revenue
Resources,9/2/2009,2581863,Business Improvement,MC28,Pertemps Recruitment Partnership,"9,046.24",Revenue
Resources,9/2/2009,2581936,Business Improvement,MC28,Pertemps Recruitment Partnership,"6,619.20",Revenue
Resources,9/2/2009,2583511,Business Improvement,MC28,Pertemps Recruitment Partnership,"3,295.81",Revenue
Resources,10/2/2009,2617860,Business Improvement,MC28,Pertemps Recruitment Partnership,"1,641.01",Revenue
Resources,10/2/2009,2617863,Business Improvement,MC28,Pertemps Recruitment Partnership,"4,991.99",Revenue
Resources,10/2/2009,2617869,Business Improvement,MC28,Pertemps Recruitment Partnership,606.76,Revenue
Resources,10/26/2009,2623069,Business Improvement,CP03,Phoenix Software Ltd,839.5,Capital
Resources,9/1/2009,2612068,Business Improvement,MC27,Phoenix Software Ltd,867.88,Revenue
Resources,10/6/2009,2618618,Business Improvement,CP03,Proband Ltd,590,Capital
Resources,10/13/2009,2620052,Business Improvement,MC28,Purple Griffon Limited,850,Revenue
Resources,10/1/2009,2618045,Business Improvement,MC28,QA-IQ Ltd,"4,000.00",Revenue
Resources,10/26/2009,2623033,Business Improvement,CN14,Serengeti Systems,"1,327.50",Capital
Resources,10/26/2009,2623117,Business Improvement,CP03,Seton,511.75,Capital
Resources,11/2/2009,2623126,Business Improvement,CP03,Seton,653.7,Capital
Resources,12/15/2009,2632224,Business Improvement,MC25,SOCITM Limited,"1,330.00",Revenue
Resources,9/21/2009,2615443,Business Improvement,MC28,South East Employers,750,Revenue
Resources,10/15/2009,2620330,Business Improvement,MC28,UK Oracle User Group,865,Revenue
Resources,9/9/2009,2613651,Business Improvement,MC26,Vodafone Limited (Corporate),533.43,Revenue
Resources,9/9/2009,2613653,Business Improvement,MC25,Vodafone Limited (Corporate),"1,014.13",Revenue
Resources,9/10/2009,2613654,Business Improvement,MC27,Vodafone Limited (Corporate),"1,516.76",Revenue
Resources,10/13/2009,2615450,Business Improvement,MC28,Vodafone Limited (Corporate),"1,047.23",Revenue
Resources,12/16/2009,2630783,Business Improvement,MC28,Vodafone Limited (Corporate),"1,087.99",Revenue
Resources,12/9/2009,2630785,Business Improvement,MC26,Vodafone Limited (Corporate),715.79,Revenue
