Directorate,Updated,TransNo,Service,Supplier Name,Amount
Children's Services,10/09/2009,2612848,ISB,Golders Hill School Ltd Re Winbury,"12,552.80"
Children's Services,10/09/2009,2612797,ISB,GT & JE Ltd T/A Datchet Montessori School,"5,069.40"
Children's Services,10/09/2009,2612806,ISB,Happy Days Pre-School Nursery,"4,118.89"
Children's Services,21/09/2009,2615700,ISB,Harper Collins Publishers,"3,250.02"
Children's Services,09/09/2009,2613223,ISB,Harrison Catering Services Limited,736
Children's Services,14/09/2009,2614065,ISB,Harrison Catering Services Limited,"1,036.40"
Children's Services,14/09/2009,2614147,ISB,Harrison Catering Services Limited,971
Children's Services,16/09/2009,2614175,ISB,Harrison Catering Services Limited,531.3
Children's Services,15/09/2009,2614402,ISB,Harrison Catering Services Limited,"1,287.30"
Children's Services,23/09/2009,2615782,ISB,Harrison Catering Services Limited,753.4
Children's Services,29/09/2009,2617225,ISB,Hays Accountancy Personnel,980
Children's Services,29/09/2009,2617231,ISB,Hays Accountancy Personnel,980
Children's Services,14/09/2009,2608042,ISB,HBS Papers,"5,972.80"
Children's Services,24/09/2009,2616630,ISB,Heinemann,685.39
Children's Services,10/09/2009,2612807,ISB,Herries School,"7,392.88"
Children's Services,24/09/2009,2616439,ISB,High Duty Flooring W/House Ltd,"3,853.00"
Children's Services,10/09/2009,2612810,ISB,Highfield School Trust Ltd,"15,208.20"
Children's Services,10/09/2009,2612812,ISB,Holyport Pre School Playgroup,"4,118.89"
Children's Services,21/09/2009,2615682,ISB,Hookways Ltd,"1,300.00"
Children's Services,24/09/2009,2616611,ISB,Hooper & Wollen,"1,132.50"
Children's Services,20/09/2009,2615596,ISB,Hope Education Ltd,"1,042.69"
Children's Services,10/09/2009,2612816,ISB,Hurst Lodge School,"11,768.25"
Children's Services,02/09/2009,2612392,ISB,Hydro - X Water Treatment Ltd,"1,859.62"
Children's Services,09/09/2009,2613504,ISB,Ian Williams Limited,"2,910.00"
Children's Services,11/09/2009,2613955,ISB,Ian Williams Limited,"2,233.87"
Children's Services,10/09/2009,2613509,ISB,IBS Office Solutions,"3,377.70"
Children's Services,24/09/2009,2616332,ISB,IBS Office Solutions,834.41
Children's Services,18/09/2009,2615384,ISB,Inchcape (Ford),"19,911.40"
Children's Services,24/09/2009,2616610,ISB,Infotec UK Ltd,"1,446.00"
Children's Services,29/09/2009,2617456,ISB,Innovate Services Ltd,740.86
Children's Services,15/09/2009,2613814,ISB,ISS Waterers Landscape,"2,261.00"
Children's Services,10/09/2009,2612817,ISB,Jacks  Eton College Pre-School,"16,475.55"
Children's Services,21/09/2009,2615811,ISB,Jaytex,614.6
Children's Services,10/09/2009,2612818,ISB,Joyce Vakharia Nursery School,"8,744.72"
Children's Services,07/09/2009,2613006,ISB,Just Projectors,"1,656.00"
Children's Services,10/09/2009,2612819,ISB,Kiddies Cabin c/o Berkshire Shared Services Org.,"14,785.75"
Children's Services,18/09/2009,2615414,ISB,Kingsley Print & Design Ltd,680
Children's Services,24/09/2009,2616624,ISB,Kingsley Print & Design Ltd,"1,149.00"
Children's Services,24/09/2009,2616625,ISB,Kingsley Print & Design Ltd,"1,594.00"
Children's Services,18/09/2009,2615327,ISB,Kinnarps UK Ltd,"23,451.00"
Children's Services,24/09/2009,2616632,ISB,Landmark Tree Surgery,630
Children's Services,16/09/2009,2614454,ISB,Landscape Care and Control,"2,685.00"
Children's Services,08/09/2009,2613046,ISB,Learning Plus UK,"1,297.50"
Children's Services,21/09/2009,2615711,ISB,Learning Through Action,545
Children's Services,30/09/2009,2617527,ISB,Lexia UK,"2,582.85"
Children's Services,10/09/2009,2612821,ISB,Lilliput Learners Playgroup Pre-School,"16,573.62"
Children's Services,18/09/2009,2615360,ISB,Link Lockers,"1,136.23"
Children's Services,10/09/2009,2612822,ISB,Little Fingers Montessori School,"3,590.83"
Children's Services,10/09/2009,2612823,ISB,Little Fishes Pre School,"16,433.31"
Children's Services,10/09/2009,2612808,ISB,Little Monkeys,"3,696.44"
Children's Services,10/09/2009,2612824,ISB,Little Monkeys,"4,013.28"
Children's Services,10/09/2009,2612809,ISB,Little Rainbows Community Pre-School,"17,637.29"
Children's Services,10/09/2009,2612813,ISB,Littlewick Green Montessori School,"10,297.22"
Children's Services,17/09/2009,2614499,ISB,Local Cleaning Services,843
Children's Services,24/09/2009,2616640,ISB,Loddon Door Services,"1,237.75"
Children's Services,08/09/2009,2613102,ISB,M2 Digital Ltd,"1,035.90"
Children's Services,09/09/2009,2613563,ISB,M3C Sports Supplies Ltd,"1,299.00"
Children's Services,10/09/2009,2612221,ISB,Maidenhead Flooring Specialists,"1,189.00"
Children's Services,11/09/2009,2614213,ISB,Maidenhead Flooring Specialists,568
Children's Services,11/09/2009,2614214,ISB,Maidenhead Flooring Specialists,592
Children's Services,22/09/2009,2615926,ISB,Marcia Twelftree  (CLOSED/240909  RETIRED),"2,208.00"
Children's Services,10/09/2009,2612844,ISB,Marist Convent Junior School,"12,258.59"
Children's Services,30/09/2009,2617697,ISB,Mathematics in Education and Industry  (MEI),510
Children's Services,24/09/2009,2616296,ISB,Metric Office Furniture Ltd,"7,927.00"
Children's Services,14/09/2009,2614376,ISB,Millennium Business Systems Ltd,"1,463.00"
Children's Services,24/09/2009,2616600,ISB,Misco,538.93
Children's Services,14/09/2009,2614290,ISB,Mr S Scott T/A Amalgamated Roadways,"4,370.00"
Children's Services,10/09/2009,2612820,ISB,Mrs M Sams t/a Kool Kidz Klub,"4,752.56"
Children's Services,18/09/2009,2615324,ISB,Multisense Communications Ltd,"15,645.00"
Children's Services,18/09/2009,2615325,ISB,Multisense Communications Ltd,943
Children's Services,30/09/2009,2617713,ISB,Multisense Communications Ltd,"1,860.00"
Children's Services,10/09/2009,2612815,ISB,Munchkins Pre-School Maidenhead LLP,"20,657.81"
Children's Services,10/09/2009,2612826,ISB,Noahs Ark Club,"10,244.41"
Children's Services,16/09/2009,2614715,ISB,Oak Leaf Building Services,"20,720.00"
Children's Services,10/09/2009,2612827,ISB,Old Windsor Pre-School,"11,532.89"
Children's Services,07/09/2009,2613052,ISB,Outline Design Limited,"2,212.91"
Children's Services,07/09/2009,2613053,ISB,Outline Design Limited,"3,752.80"
Children's Services,04/09/2009,2612728,ISB,Oxford University Press,"1,647.85"
Children's Services,10/09/2009,2613917,ISB,Oxford University Press,626.65
Children's Services,17/09/2009,2614616,ISB,Oxford University Press,"1,109.05"
Children's Services,09/09/2009,2613596,ISB,Pace Petroleum Ltd,"2,440.00"
Children's Services,10/09/2009,2614043,ISB,Pace Petroleum Ltd,"1,009.50"
Children's Services,01/10/2009,2617825,ISB,Pace Petroleum Ltd,"2,003.37"
Children's Services,08/09/2009,2613267,ISB,Pearson Education (Head Office),904.46
Children's Services,29/09/2009,2617108,ISB,Pearson Education (Head Office),"3,483.06"
Children's Services,29/09/2009,2617110,ISB,Pearson Education (Head Office),"2,632.00"
Children's Services,10/09/2009,2606477,ISB,Philip & Tacey Ltd,585
Children's Services,16/09/2009,2614351,ISB,Philip Harris Education,617.08
Children's Services,14/09/2009,2614031,ISB,PHS Group plc,515.54
Children's Services,10/09/2009,2612829,ISB,Positive Steps Day Nursery,"26,234.15"
Children's Services,10/09/2009,2612828,ISB,Positive Steps Nursery,"9,082.68"
Children's Services,10/09/2009,2612830,ISB,Poundfield Pre School,"7,477.37"
Children's Services,15/09/2009,2614516,ISB,Prime Principle Ltd,"1,645.00"
Children's Services,10/09/2009,2612831,ISB,Pumpkins Pre School,"15,841.88"
Children's Services,08/09/2009,2613070,ISB,Purchase Power,963
Children's Services,23/09/2009,2616245,ISB,Quoin Contracts Limited,"5,220.00"
Children's Services,16/09/2009,2614450,ISB,R D Brett(Electrical Contractor)Ltd,653
Children's Services,16/09/2009,2614451,ISB,R D Brett(Electrical Contractor)Ltd,575
Children's Services,10/09/2009,2612832,ISB,Rainbow Pre-School,"9,885.33"
Children's Services,28/09/2009,2617008,ISB,Raven,"6,379.25"
Children's Services,09/09/2009,2613476,ISB,Results Health Clubs Bracknell Ltd,"3,510.00"
Children's Services,08/09/2009,2613220,ISB,Richard Neale Associates Ltd,803
Children's Services,28/09/2009,2616901,ISB,Ricoh UK Ltd,569.34
Children's Services,08/09/2009,2613192,ISB,Ryan Car Services,"1,600.00"
Children's Services,30/09/2009,2617383,ISB,S D G Carpentry & Building Services,"2,745.00"
Children's Services,30/09/2009,2617523,ISB,Safari Sports Ltd,656.31
Children's Services,21/09/2009,2615349,ISB,Scholastic Limited,520.35
Children's Services,22/09/2009,2615980,ISB,Scientific & Chemical Supplies Ltd,566.68
Children's Services,09/09/2009,2613320,ISB,Scottish&Southern Energy PLC T/A South.Electric,"1,486.03"
Children's Services,09/09/2009,2613460,ISB,Scottish&Southern Energy PLC T/A South.Electric,"1,956.09"
Children's Services,10/09/2009,2613660,ISB,Scottish&Southern Energy PLC T/A South.Electric,"5,275.34"
Children's Services,10/09/2009,2613967,ISB,Scottish&Southern Energy PLC T/A South.Electric,889.81
Children's Services,15/09/2009,2614525,ISB,Scottish&Southern Energy PLC T/A South.Electric,"1,732.63"
Children's Services,16/09/2009,2614563,ISB,Scottish&Southern Energy PLC T/A South.Electric,721.67
Children's Services,16/09/2009,2614701,ISB,Scottish&Southern Energy PLC T/A South.Electric,"1,471.58"
Children's Services,17/09/2009,2615024,ISB,Scottish&Southern Energy PLC T/A South.Electric,623.31
Children's Services,21/09/2009,2615029,ISB,Scottish&Southern Energy PLC T/A South.Electric,882.85
Children's Services,24/09/2009,2616449,ISB,Scottish&Southern Energy PLC T/A South.Electric,601.88
Children's Services,01/10/2009,2618005,ISB,Seawhite,"1,080.50"
Children's Services,23/09/2009,2616246,ISB,Selquin Ltd,615
Children's Services,09/09/2009,2613593,ISB,Seton,"1,336.14"
Children's Services,18/09/2009,2615374,ISB,Shield (UK) Ltd,860
Children's Services,21/09/2009,2615683,ISB,Shoreline Outdoor Pursuits,"1,934.80"
Children's Services,09/09/2009,2613507,ISB,Sico Europe Ltd,742.6
Children's Services,30/09/2009,2617729,ISB,Siemens Financial Services,523.9
Children's Services,18/09/2009,2615367,ISB,SKS Window Cleaning Ltd,"1,350.00"
Children's Services,10/09/2009,2612833,ISB,South Ascot Pre-School Ltd,"11,511.76"
Children's Services,14/09/2009,2614080,ISB,South East Water Plc,819.36
Children's Services,15/09/2009,2614505,ISB,South East Water Plc,654.73
Children's Services,08/09/2009,2613184,ISB,South East Water Plc,666.28
Children's Services,09/09/2009,2613493,ISB,South East Water Plc,"1,592.22"
Children's Services,10/09/2009,2613886,ISB,South East Water Plc,648.86
Children's Services,10/09/2009,2613886,ISB,South East Water Plc,813.8
Children's Services,14/09/2009,2614060,ISB,South East Water Plc,"1,393.78"
Children's Services,07/09/2009,2613031,ISB,Southern Communications Ltd,"1,377.50"
Children's Services,09/09/2009,2613713,ISB,Southern Electric Plc,"2,458.46"
Children's Services,14/09/2009,2614075,ISB,Southern Electric Plc,"3,207.78"
Children's Services,15/09/2009,2614084,ISB,Southern Electric Plc,"1,168.02"
Children's Services,15/09/2009,2614473,ISB,Southern Electric Plc,"1,308.14"
Children's Services,21/09/2009,2615699,ISB,Southern Electric Plc,"1,758.37"
Children's Services,10/09/2009,2613851,ISB,Southern Electric Power Distribution Ltd,"1,205.75"
Children's Services,09/09/2009,2613506,ISB,Spadeoak Construction Co Ltd,"7,674.00"
Children's Services,10/09/2009,2613514,ISB,Specialist Schools  and Academies Trust,850
Children's Services,10/09/2009,2613543,ISB,Sports Eduction Academy,833.34
Children's Services,16/09/2009,2614714,ISB,SQ2 Limited,"1,732.00"
Children's Services,10/09/2009,2612834,ISB,St Edmund Campion Parish Nursery,"22,178.63"
Children's Services,10/09/2009,2612835,ISB,St Francis Pre School,"14,046.46"
Children's Services,10/09/2009,2612836,ISB,St George's School,"14,785.75"
Children's Services,10/09/2009,2612837,ISB,St Marys Pre School,"23,065.77"
Children's Services,10/09/2009,2612838,ISB,St Pirans School Ltd,"30,401.31"
Children's Services,10/09/2009,2612839,ISB,Stars Pre-Nursery,"4,858.18"
Children's Services,10/09/2009,2612840,ISB,Stepping Stones Playgroup,"15,292.69"
Children's Services,18/09/2009,2615516,ISB,STL Communications Ltd,750
Children's Services,18/09/2009,2615517,ISB,STL Communications Ltd,750
Children's Services,15/09/2009,2614611,ISB,Stone Computers,"2,165.00"
Children's Services,17/09/2009,2614689,ISB,Stone Computers,"36,926.00"
Children's Services,17/09/2009,2614699,ISB,Stone Computers,998
Children's Services,10/09/2009,2612841,ISB,Sunningdale Pre School,"14,363.30"
Children's Services,04/09/2009,2612421,ISB,Taecanet Ltd,"10,500.00"
Children's Services,21/09/2009,2615710,ISB,Teaching Personnel Ltd,621
Children's Services,30/09/2009,2617207,ISB,Teaching Personnel Ltd,"1,480.00"
Children's Services,14/09/2009,2614143,ISB,Thames Valley Tiles (Slough) Ltd,717
Children's Services,02/09/2009,2612451,ISB,The Anthony Smith Partnership,850
Children's Services,10/09/2009,2612843,ISB,The Brigidine School,"12,462.28"
Children's Services,07/09/2009,2613024,ISB,The Consortium,698.95
Children's Services,09/09/2009,2613255,ISB,The Consortium,"3,759.69"
Children's Services,18/09/2009,2615298,ISB,The Consortium,859.72
Children's Services,22/09/2009,2615983,ISB,The Consortium,788.25
Children's Services,29/09/2009,2617156,ISB,The East to West Trust,"12,000.00"
Children's Services,14/09/2009,2613953,ISB,The Ruislip Service Centre Limited,"1,629.57"
Children's Services,07/09/2009,2613007,ISB,The School Planner Co Ltd,504.4
Children's Services,24/09/2009,2616619,ISB,The Teaching Supply Agency,817.8
Children's Services,16/09/2009,2614576,ISB,Three Valleys Water Plc,"1,221.24"
Children's Services,16/09/2009,2614578,ISB,Three Valleys Water Plc,"3,394.06"
Children's Services,07/09/2009,2613036,ISB,Total Gas & Power Limited,763.14
Children's Services,22/09/2009,2615691,ISB,Total Gas & Power Limited,772.71
Children's Services,01/10/2009,2617918,ISB,TSL Education Ltd,900
Children's Services,01/10/2009,2617919,ISB,TSL Education Ltd,900
Children's Services,10/09/2009,2606478,ISB,TTS Group (English in Evidence),601.6
Children's Services,10/09/2009,2613807,ISB,TTS Group (English in Evidence),"1,199.85"
Children's Services,10/09/2009,2612845,ISB,Upton House School,"36,285.44"
Children's Services,10/09/2009,2613878,ISB,Veolia ES Onyx Ltd,864.09
Children's Services,10/09/2009,2612846,ISB,Westborough Pre School,"10,772.48"
Children's Services,16/09/2009,2614482,ISB,White Bus Services,"5,513.00"
Children's Services,10/09/2009,2612847,ISB,White Waltham Nursery School,"14,891.36"
Children's Services,10/09/2009,2612849,ISB,Windsor Club Day Nursery and Creche,"4,752.56"
Children's Services,10/09/2009,2612851,ISB,Windsor Montessori School,"10,863.00"
Children's Services,16/09/2009,2614455,ISB,Windsorian Coaches,"1,170.00"
Children's Services,10/09/2009,2612852,ISB,Wraparound Childcare Ltd,"6,019.91"
Children's Services,17/09/2009,2614694,ISB,Wrightsure Insurance Services,"1,205.38"
Children's Services,16/09/2009,2614461,ISB,Youth Sport Trust,800
Children's Services,29/09/2009,2617181,ISB,Youth Sport Trust,"1,660.00"
Children's Services,15/09/2009,2614158,LA Funded Schools Costs,Teachers Pensions,"2,143.65"
Children's Services,15/09/2009,2614158,LA Funded Schools Costs,Teachers Pensions,"7,610.61"
Children's Services,02/09/2009,2612486,Non Schools,ALP Electrical (Maidenhead) Limited,692
Children's Services,30/09/2009,2617519,Non Schools,Clewer Youth & Community Centre,"2,611.97"
Children's Services,11/09/2009,2613463,Non Schools,Cornerstone & Thomson Roddick,"1,000.00"
Children's Services,30/09/2009,2617570,Non Schools,Edith Rose Day Nursery,650
Children's Services,15/09/2009,2614399,Non Schools,F J Lane & Son Ltd,"54,551.14"
Children's Services,03/09/2009,2612604,Non Schools,J P Leonard Ltd,566
Children's Services,30/09/2009,2617569,Non Schools,Kiddies Cabin c/o Berkshire Shared Services Org.,650
Children's Services,11/09/2009,2614101,Non Schools,Rollalong Ltd,"1,465.00"
Children's Services,30/09/2009,2617567,Non Schools,St Marys Pre School,650
Children's Services,30/09/2009,2617586,Non Schools,White Waltham Nursery School,650
Children's Services,30/09/2009,2617680,Parking Schemes,Micro Drainage Ltd,"2,043.75"
Children's Services,09/09/2009,2613617,Schools-Devolved Capital,A2Z Computer Products Ltd,"9,184.00"
Children's Services,23/09/2009,2616238,Schools-Devolved Capital,A2Z Computer Products Ltd,"2,850.00"
Children's Services,22/09/2009,2615998,Schools-Devolved Capital,Adams & Wade (Maidenhead) Limited,"57,840.29"
Children's Services,30/09/2009,2617309,Schools-Devolved Capital,Adams & Wade (Maidenhead) Limited,"33,431.00"
Children's Services,28/09/2009,2616999,Schools-Devolved Capital,Ashley Blind Contracts,"1,650.00"
Children's Services,11/09/2009,2613626,Schools-Devolved Capital,Carp-A-Tex (Reading) Ltd,"1,400.00"
Children's Services,29/09/2009,2617149,Schools-Devolved Capital,Contract Trading Services Ltd,"33,117.00"
Children's Services,29/09/2009,2617163,Schools-Devolved Capital,Contract Trading Services Ltd,"18,389.33"
Children's Services,09/09/2009,2613558,Schools-Devolved Capital,Cost Cutters,"1,388.63"
Children's Services,18/09/2009,2615546,Schools-Devolved Capital,Cybersupport (UK) Limited,"1,941.63"
Children's Services,17/09/2009,2615343,Schools-Devolved Capital,Exceedia Ltd,"1,637.00"
Children's Services,25/09/2009,2616845,Schools-Devolved Capital,Exceedia Ltd,"2,155.00"
Children's Services,08/09/2009,2613284,Schools-Devolved Capital,F J Lane & Son Ltd,"7,500.00"
Children's Services,08/09/2009,2613285,Schools-Devolved Capital,F J Lane & Son Ltd,"2,009.00"
Children's Services,09/09/2009,2613468,Schools-Devolved Capital,F J Lane & Son Ltd,"15,093.40"
Children's Services,11/09/2009,2613518,Schools-Devolved Capital,F J Lane & Son Ltd,"5,321.00"
Children's Services,19/09/2009,2615564,Schools-Devolved Capital,F J Lane & Son Ltd,872.33
Children's Services,22/09/2009,2615863,Schools-Devolved Capital,F J Lane & Son Ltd,"2,567.00"
Children's Services,14/09/2009,2614360,Schools-Devolved Capital,GCD Security (Locksmiths) Ltd,"3,988.00"
Children's Services,24/09/2009,2616338,Schools-Devolved Capital,Hazlemere Window Company Ltd,"4,129.81"
Children's Services,11/09/2009,2613581,Schools-Devolved Capital,HBS Papers,548.75
Children's Services,11/09/2009,2613591,Schools-Devolved Capital,HBS Papers,"1,078.80"
Children's Services,11/09/2009,2613594,Schools-Devolved Capital,HBS Papers,"6,856.11"
Children's Services,18/09/2009,2615557,Schools-Devolved Capital,Innovate Services Ltd,"25,400.00"
Children's Services,21/09/2009,2615875,Schools-Devolved Capital,Kendall Kingscott Limited,945
Children's Services,24/09/2009,2616282,Schools-Devolved Capital,Kindlelight Ltd,"6,787.00"
Children's Services,03/09/2009,2612224,Schools-Devolved Capital,LSM Decorators Limited,"1,250.00"
Children's Services,21/09/2009,2615878,Schools-Devolved Capital,Maidenhead Flooring Specialists,616.5
Children's Services,03/09/2009,2612498,Schools-Devolved Capital,Misco,509.97
Children's Services,24/09/2009,2616287,Schools-Devolved Capital,Morris & Blunt Ltd,"16,865.59"
Children's Services,24/09/2009,2616288,Schools-Devolved Capital,Morris & Blunt Ltd,"126,491.91"
Children's Services,18/09/2009,2615521,Schools-Devolved Capital,Pel Services Ltd,"1,131.91"
Children's Services,03/09/2009,2612227,Schools-Devolved Capital,Quoin Contracts Limited,"48,116.07"
Children's Services,07/09/2009,2613022,Schools-Devolved Capital,Quoin Contracts Limited,"28,689.37"
Children's Services,17/09/2009,2614081,Schools-Devolved Capital,Quoin Contracts Limited,"8,700.11"
Children's Services,21/09/2009,2615713,Schools-Devolved Capital,Quoin Contracts Limited,520
Children's Services,18/09/2009,2615358,Schools-Devolved Capital,Re-Format LLP,"1,584.96"
Children's Services,21/09/2009,2615827,Schools-Devolved Capital,Re-Format LLP,"3,370.50"
Children's Services,08/09/2009,2613221,Schools-Devolved Capital,Richard Neale Associates Ltd,"1,000.00"
Children's Services,21/09/2009,2615712,Schools-Devolved Capital,Richard Neale Associates Ltd,"4,320.96"
Children's Services,24/09/2009,2616285,Schools-Devolved Capital,Rodnic (South) Ltd,"10,062.00"
Children's Services,11/09/2009,2613575,Schools-Devolved Capital,Rollalong Ltd,"9,553.34"
Children's Services,09/09/2009,2613403,Schools-Devolved Capital,Sebel Furniture Ltd,553.5
Children's Services,18/09/2009,2615532,Schools-Devolved Capital,Southern Insulation Limited,"6,550.00"
Children's Services,17/09/2009,2614923,Schools-Devolved Capital,The Anthony Smith Partnership,570
Children's Services,17/09/2009,2614924,Schools-Devolved Capital,The Anthony Smith Partnership,750
Children's Services,30/09/2009,2617681,Schools-Devolved Capital,The Anthony Smith Partnership,"1,400.00"
Children's Services,16/09/2009,2614967,Schools-Devolved Capital,Top Office,"2,023.50"
Children's Services,23/09/2009,2616239,Schools-Devolved Capital,Top Office,"1,758.45"
Children's Services,09/09/2009,2613469,Schools-Devolved Capital,Wells Builders Ltd,"40,949.75"
Children's Services,18/09/2009,2615399,Schools-Devolved Capital,Windsor Project Management Ltd,692.25
Children's Services,11/09/2009,2613818,Schools-Devolved Capital,Woodley Decor,850
Children's Services,11/09/2009,2613820,Schools-Devolved Capital,Woodley Decor,"2,710.00"
Children's Services,11/09/2009,2613831,Schools-Devolved Capital,Woodley Decor,"1,800.00"
Children's Services,11/09/2009,2614096,Schools-Non Devolved,Associated Structural Design Ltd,"6,326.54"
Children's Services,03/09/2009,2612222,Schools-Non Devolved,Berkshire Building Services Ltd,"20,752.91"
Children's Services,11/09/2009,2614095,Schools-Non Devolved,Berkshire Building Services Ltd,"33,836.53"
Children's Services,28/09/2009,2616992,Schools-Non Devolved,CgMs Limited,"3,380.00"
Children's Services,11/09/2009,2614237,Schools-Non Devolved,Claude Fenton (Construction) Ltd,"21,362.24"
Children's Services,08/09/2009,2613342,Schools-Non Devolved,Contract Trading Services Ltd,"145,700.65"
Children's Services,30/09/2009,2616971,Schools-Non Devolved,Contract Trading Services Ltd,"55,611.76"
Children's Services,11/09/2009,2613461,Schools-Non Devolved,Cornerstone & Thomson Roddick,937.03
Children's Services,11/09/2009,2613462,Schools-Non Devolved,Cornerstone & Thomson Roddick,"1,200.00"
Children's Services,25/09/2009,2615801,Schools-Non Devolved,Cornerstone & Thomson Roddick,"3,625.00"
Children's Services,08/09/2009,2613120,Schools-Non Devolved,D H Electrical Services Ltd,"115,573.53"
Children's Services,30/09/2009,2617691,Schools-Non Devolved,D H Electrical Services Ltd,"4,888.00"
Children's Services,15/09/2009,2614565,Schools-Non Devolved,Datasharp Telephony Solutions&RedcardTelecom,700
Children's Services,03/09/2009,2612195,Schools-Non Devolved,Durkan Ltd,"124,000.00"
Children's Services,18/09/2009,2614922,Schools-Non Devolved,Edgington Spink & Hyne,"14,080.02"
Children's Services,07/09/2009,2612796,Schools-Non Devolved,Electrical Power Specialists Ltd,"134,639.41"
Children's Services,10/09/2009,2613894,Schools-Non Devolved,F J Lane & Son Ltd,500
Children's Services,22/09/2009,2615800,Schools-Non Devolved,F J Lane & Son Ltd,835
Children's Services,17/09/2009,2615096,Schools-Non Devolved,Foster Refrigerator (UK) Ltd,"2,235.00"
Children's Services,03/09/2009,2612447,Schools-Non Devolved,Hobart UK,577
Children's Services,08/09/2009,2612396,Schools-Non Devolved,J Mould (Reading),"27,000.00"
Children's Services,25/09/2009,2616754,Schools-Non Devolved,OPUS Business Systems Ltd,"1,798.18"
Children's Services,11/09/2009,2614097,Schools-Non Devolved,Oxford Architects,"9,453.00"
Children's Services,18/09/2009,2615567,Schools-Non Devolved,Palmers Of Windsor,920
Children's Services,18/09/2009,2615568,Schools-Non Devolved,Palmers Of Windsor,500
Children's Services,03/09/2009,2612457,Schools-Non Devolved,Re-Format LLP,"2,697.81"
Children's Services,18/09/2009,2614928,Schools-Non Devolved,Rollalong Ltd,"32,243.00"
Children's Services,14/09/2009,2614350,Schools-Non Devolved,Scottish & Southern Energy plc,"58,884.00"
Children's Services,07/09/2009,2612679,Schools-Non Devolved,Southern Electric Contracting Ltd,"62,660.45"
Children's Services,03/09/2009,2611898,Schools-Non Devolved,The Anthony Smith Partnership,"3,000.00"
Children's Services,03/09/2009,2612217,Schools-Non Devolved,The Anthony Smith Partnership,"4,375.00"
Children's Services,03/09/2009,2612219,Schools-Non Devolved,The Anthony Smith Partnership,900
Children's Services,15/09/2009,2614489,Schools-Non Devolved,The Anthony Smith Partnership,"3,867.50"
Children's Services,25/09/2009,2615910,Schools-Non Devolved,The Anthony Smith Partnership,"2,165.58"
Children's Services,30/09/2009,2617657,Schools-Non Devolved,Valuation Office Agency,"1,730.00"
Children's Services,11/09/2009,2613735,Schools-Non Devolved,Willmott Dixon Construction Limited,"1,099,546.87"
Children's Services,03/09/2009,2611894,Schools-Non Devolved,Windsor Project Management Ltd,"3,366.72"
Children's Services,30/09/2009,2617821,Schools-Non Devolved,Windsor Project Management Ltd,"1,333.42"
Environmental Services,30/09/2009,2617660,Admin Buildings & Depots,Caraton Ltd,"14,525.00"
Environmental Services,30/09/2009,2617662,Admin Buildings & Depots,Caraton Ltd,"2,968.54"
Environmental Services,18/09/2009,2615271,Admin Buildings & Depots,Cornerstone & Thomson Roddick,"8,852.50"
Environmental Services,14/09/2009,2613533,Admin Buildings & Depots,Eden Springs UK Ltd,"1,186.16"
Environmental Services,14/09/2009,2613540,Admin Buildings & Depots,Eden Springs UK Ltd,990.99
Environmental Services,24/09/2009,2615916,Admin Buildings & Depots,Electricity Supply Nominees Ltd,"8,858.57"
Environmental Services,24/09/2009,2615917,Admin Buildings & Depots,Electricity Supply Nominees Ltd,"12,326.69"
Environmental Services,10/09/2009,2613799,Admin Buildings & Depots,GCD Security (Locksmiths) Ltd,"1,280.00"
Environmental Services,10/09/2009,2613800,Admin Buildings & Depots,GCD Security (Locksmiths) Ltd,"1,800.00"
Environmental Services,10/09/2009,2613804,Admin Buildings & Depots,GCD Security (Locksmiths) Ltd,577
Environmental Services,17/09/2009,2615060,Admin Buildings & Depots,GE Capital Equipment Finance Ltd,"2,305.39"
Environmental Services,10/09/2009,2613699,Admin Buildings & Depots,John Graham Commercials,"3,162.35"
Environmental Services,10/09/2009,2613711,Admin Buildings & Depots,PHS Datashred,799.02
Environmental Services,10/09/2009,2613796,Admin Buildings & Depots,PHS Datashred,801.98
Environmental Services,30/09/2009,2617703,Admin Buildings & Depots,PHS Datashred,906.98
Environmental Services,12/09/2009,2614247,Admin Buildings & Depots,Rhedin Ltd,631.13
Environmental Services,07/09/2009,2612908,Admin Buildings & Depots,S & L Building Services Ltd,"2,120.00"
Environmental Services,03/09/2009,2612644,Admin Buildings & Depots,Scottish&Southern Energy PLC T/A South.Electric,"1,848.62"
Environmental Services,03/09/2009,2612648,Admin Buildings & Depots,Scottish&Southern Energy PLC T/A South.Electric,552.47
Environmental Services,14/09/2009,2614275,Admin Buildings & Depots,Scottish&Southern Energy PLC T/A South.Electric,522.34
Environmental Services,14/09/2009,2614276,Admin Buildings & Depots,Scottish&Southern Energy PLC T/A South.Electric,583.44
Environmental Services,14/09/2009,2614277,Admin Buildings & Depots,Scottish&Southern Energy PLC T/A South.Electric,"1,053.18"
Environmental Services,18/09/2009,2614661,Admin Buildings & Depots,Scottish&Southern Energy PLC T/A South.Electric,"9,043.43"
Environmental Services,18/09/2009,2614662,Admin Buildings & Depots,Scottish&Southern Energy PLC T/A South.Electric,"1,867.30"
Environmental Services,18/09/2009,2615224,Admin Buildings & Depots,Scottish&Southern Energy PLC T/A South.Electric,"1,141.72"
Environmental Services,24/09/2009,2615915,Admin Buildings & Depots,Scottish&Southern Energy PLC T/A South.Electric,"1,721.32"
Environmental Services,08/09/2009,2613127,Admin Buildings & Depots,Shire Beverage Services,513.9
