"Wardcode","Wardname","Subgroup"
"40UCHA","Highbridge","1.1.1"
"40UCHB","Huntspill and Pawlett","7.10.16"
"40UCHC","King's Isle","7.10.16"
"40UCHD","Knoll","9.17.26"
"40UCHE","North Petherton","7.10.16"
"40UCHF","Puriton","7.10.16"
"40UCHG","Sandford","7.10.16"
"40UCHH","Wedmore and Mark","9.17.26"
"40UCHJ","West Poldens","9.17.26"
"40UCHK","Woolavington","8.15.24"
"40UDJP","Blackdown","8.13.21"
"40UDJQ","Blackmoor Vale","7.10.16"
"40UDJR","Bruton","8.13.22"
"40UDJS","Brympton","7.11.18"
"40UDJT","Burrow Hill","9.17.26"
"40UDJU","Camelot","9.17.26"
"40UDJW","Cary","8.13.22"
"40UDJX","Chard Avishayes","8.15.24"
"40UDJY","Chard Combe","8.13.22"
"40UDJZ","Chard Crimchard","8.15.24"
"40UDKA","Chard Holyrood","1.1.1"
"40UDKB","Chard Jocelyn","8.15.24"
"40UDKC","Coker","7.10.16"
"40UDKD","Crewkerne","8.15.24"
"40UDKE","Curry Rivel","7.10.16"
"40UDKF","Eggwood","7.10.16"
"40UDKG","Hamdon","8.15.24"
"40UDKH","Ilminster","8.15.24"
"40UDKJ","Islemoor","9.17.26"
"40UDKK","Ivelchester","7.11.18"
"40UDKL","Langport and Huish","8.13.22"
"40UDKM","Martock","8.15.24"
"40UDKN","Milborne Port","8.15.24"
"40UDKP","Neroche","8.13.21"
"40UDKQ","Northstone","9.17.26"
"40UDKR","Parrett","7.10.16"
"40UDKS","St Michael's","7.10.16"
"40UDKT","South Petherton","8.14.23"
"40UDKU","Tatworth and Forton","7.10.16"
"40UDKW","Tower","8.13.21"
"40UDKX","Turn Hill","9.17.26"
"40UDKY","Wessex","7.10.16"
"40UDKZ","Wincanton","8.13.22"
"40UDLA","Windwhistle","8.13.21"
"40UDLB","Yeovil Central","2.4.5"
"40UDLC","Yeovil East","1.2.3"
"40UDLD","Yeovil South","8.15.24"
"40UDLE","Yeovil West","8.15.24"
"40UDLF","Yeovil Without","8.15.24"
"40UEGH","Bishop's Hull","8.13.22"
"40UEGJ","Bishop's Lydeard","7.10.16"
"40UEGK","Blackdown","8.13.21"
"40UEGL","Bradford-on-Tone","9.17.26"
"40UEGM","Comeytrowe","8.13.22"
"40UEGN","Milverton and North Deane","8.13.21"
"40UEGP","Monument","9.17.26"
"40UEGQ","Neroche","8.13.21"
"40UEGR","North Curry","8.13.21"
"40UEGS","Norton Fitzwarren","7.10.17"
"40UEGT","Ruishton and Creech","7.10.16"
"40UEGU","Staplegrove","8.13.22"
"40UEGW","Stoke St. Gregory","8.13.21"
"40UEGX","Taunton Blackbrook and Holway","1.2.3"
"40UEGY","Taunton Eastgate","3.5.8"
"40UEGZ","Taunton Fairwater","5.7.12"
"40UEHA","Taunton Halcon","1.2.3"
"40UEHB","Taunton Killams and Mountfield","8.14.23"
"40UEHC","Taunton Lyngford","8.13.22"
"40UEHD","Taunton Manor and Wilton","8.14.23"
"40UEHE","Taunton Pyrland and Rowbarton","1.2.3"
"40UEHF","Trull","8.14.23"
"40UEHG","Wellington East","8.13.22"
"40UEHH","Wellington North","1.2.3"
"40UEHJ","Wellington Rockwell Green and West","8.13.22"
"40UEHK","West Monkton","7.11.18"
"40UEHL","Wiveliscombe and West Deane","8.13.21"
"40UFFW","Alcombe East","3.5.8"
"40UFFX","Alcombe West","8.13.22"
"40UFFY","Aville Vale","8.14.23"
"40UFGA","Carhampton and Withycombe","8.14.23"
"40UFGB","Crowcombe and Stogumber","8.13.21"
"40UFGC","Dulverton and Brushford","8.14.23"
"40UFGF","Minehead North","3.5.8"
"40UFGG","Minehead South","8.14.23"
"40UFGH","Old Cleeve","8.14.23"
"40UFGJ","Porlock and District","8.14.23"
"40UFGK","Quantock Vale","8.13.21"
"40UFGL","Quarme","8.13.21"
"40UFGM","Watchet","8.13.22"
"40UFGN","West Quantock","8.14.23"
"40UFGP","Williton","8.13.22"
"41UBFR","Brereton and Ravenhill","8.15.24"
"41UBFS","Cannock East","8.15.24"
"41UBFT","Cannock North","1.2.3"
"41UBFU","Cannock South","1.2.3"
"41UBFW","Cannock West","7.10.16"
"41UBFX","Etching Hill and The Heath","8.15.24"
"41UBFY","Hagley","8.15.24"
"41UBFZ","Hawks Green","7.11.18"
"41UBGA","Heath Hayes East and Wimblebury","8.15.24"
"41UBGB","Hednesford Green Heath","8.15.24"
"41UBGC","Hednesford North","8.15.24"
"41UBGD","Hednesford South","8.15.24"
"41UBGE","Norton Canes","8.15.24"
"41UBGF","Rawnsley","8.15.24"
"41UBGG","Western Springs","8.15.24"
"41UCGC","Abbey","9.17.26"
"41UCGD","Anglesey","2.4.5"
"41UCGE","Bagots","9.17.26"
"41UCGF","Branston","7.11.18"
"41UCGG","Brizlincote","7.10.16"
"41UCGH","Burton","2.4.5"
"41UCGJ","Churnet","8.15.24"
"41UCGK","Crown","9.17.26"
"41UCGL","Eton Park","2.4.5"
"41UCGM","Heath","8.15.24"
"41UCGN","Horninglow","1.1.1"
"41UCGP","Needwood","7.10.16"
"41UCGQ","Rolleston on Dove","7.10.16"
"41UCGR","Shobnall","2.4.5"
"41UCGS","Stapenhill","1.2.3"
"41UCGT","Stretton","7.10.16"
"41UCGU","Town","8.15.24"
"41UCGW","Tutbury and Outwoods","7.10.16"
"41UCGX","Weaver","7.10.16"
"41UCGY","Winshill","8.15.24"
"41UCGZ","Yoxall","9.17.26"
"41UDGE","All Saints","7.10.16"
"41UDGF","Alrewas and Fradley","7.10.16"
"41UDGG","Armitage with Handsacre","8.15.24"
"41UDGH","Boley Park","9.17.26"
"41UDGJ","Boney Hay","8.15.24"
"41UDGK","Bourne Vale","8.13.21"
"41UDGL","Burntwood Central","8.15.24"
"41UDGM","Chadsmead","1.2.3"
"41UDGN","Chase Terrace","8.15.24"
"41UDGP","Chasetown","8.15.24"
"41UDGQ","Colton and Mavesyn Ridware","9.17.26"
"41UDGR","Curborough","8.15.24"
"41UDGS","Fazeley","8.15.24"
"41UDGT","Hammerwich","7.10.16"
"41UDGU","Highfield","9.17.26"
"41UDGW","King's Bromley","9.17.26"
"41UDGX","Leomansley","8.14.23"
"41UDGY","Little Aston","9.17.26"
"41UDGZ","Longdon","9.17.26"
"41UDHA","Mease and Tame","9.17.26"
"41UDHB","St John's","7.10.16"
"41UDHC","Shenstone","9.17.26"
"41UDHD","Stonnall","7.10.16"
"41UDHE","Stowe","8.13.22"
"41UDHF","Summerfield","1.2.3"
"41UDHG","Whittington","9.17.26"
"41UEGA","Audley and Bignall End","8.15.24"
"41UEGB","Bradwell","8.15.24"
"41UEGC","Butt Lane","1.1.1"
"41UEGD","Chesterton","8.15.24"
"41UEGE","Clayton","1.1.2"
"41UEGF","Cross Heath","1.2.3"
"41UEGG","Halmerend","7.10.16"
"41UEGH","Holditch","1.1.1"
"41UEGK","Kidsgrove","8.15.24"
"41UEGL","Knutton and Silverdale","1.1.1"
"41UEGM","Loggerheads and Whitmore","9.17.26"
"41UEGN","Madeley","5.7.13"
"41UEGP","May Bank","1.1.2"
"41UEGQ","Newchapel","8.15.24"
"41UEGR","Porthill","8.15.24"
"41UEGS","Ravenscliffe","8.15.24"
"41UEGT","Seabridge","7.10.16"
"41UEGU","Silverdale and Parksite","1.1.1"
"41UEGW","Talke","8.15.24"
"41UEGX","Thistleberry","1.1.2"
"41UEGY","Town","3.5.8"
"41UEGZ","Westlands","7.10.16"
"41UEHA","Wolstanton","1.1.1"
"41UFHM","Bilbrook","8.15.24"
"41UFHN","Brewood and Coven","7.10.16"
"41UFHP","Cheslyn Hay North and Saredon","8.15.24"
"41UFHQ","Cheslyn Hay South","8.15.24"
"41UFHR","Codsall North","1.1.2"
"41UFHS","Codsall South","7.10.16"
"41UFHT","Essington","8.15.24"
"41UFHU","Featherstone and Shareshill","8.15.24"
"41UFHW","Great Wyrley Landywood","8.15.24"
"41UFHX","Great Wyrley Town","8.15.24"
"41UFHY","Himley and Swindon","7.10.16"
"41UFHZ","Huntington and Hatherton","8.15.24"
"41UFJA","Kinver","9.17.26"
"41UFJB","Pattingham and Patshull","7.10.16"
"41UFJC","Penkridge North East and Acton Trussell","7.10.16"
"41UFJD","Penkridge South East","7.10.16"
"41UFJE","Penkridge West","7.10.16"
"41UFJF","Perton Dippons","7.10.16"
"41UFJG","Perton East","7.11.18"
"41UFJH","Perton Lakeside","7.10.17"
"41UFJJ","Trysull and Seisdon","9.17.26"
"41UFJK","Wheaton Aston","9.17.26"
"41UFJL","Wombourne North and Lower Penn","7.10.16"
"41UFJM","Wombourne South East","7.10.16"
"41UFJN","Wombourne South West","8.15.24"
"41UGGH","Barlaston and Oulton","8.14.23"
"41UGGJ","Baswich","7.10.16"
"41UGGK","Chartley","9.17.26"
"41UGGL","Church Eaton","9.17.26"
"41UGGM","Common","5.7.12"
"41UGGN","Coton","2.4.5"
"41UGGP","Eccleshall","9.17.26"
"41UGGQ","Forebridge","5.7.12"
"41UGGR","Fulford","7.10.16"
"41UGGS","Gnosall and Woodseaves","9.17.26"
"41UGGT","Haywood and Hixon","7.10.16"
"41UGGU","Highfields and Western Downs","1.2.3"
"41UGGW","Holmcroft","8.15.24"
"41UGGX","Littleworth","1.1.2"
"41UGGY","Manor","8.13.22"
"41UGGZ","Milford","9.17.26"
"41UGHA","Milwich","9.17.26"
"41UGHB","Penkside","1.2.3"
"41UGHC","Rowley","7.10.16"
"41UGHD","St. Michael's","7.11.18"
"41UGHE","Seighford","9.17.26"
"41UGHF","Stonefield and Christchurch","8.13.22"
"41UGHG","Swynnerton","9.17.26"
"41UGHH","Tillington","8.15.24"
"41UGHJ","Walton","7.10.16"
"41UGHK","Weeping Cross","7.10.16"
"41UHGF","Alton","9.17.26"
"41UHGG","Bagnall and Stanley","9.17.26"
"41UHGH","Biddulph East","1.1.1"
"41UHGJ","Biddulph Moor","7.10.16"
"41UHGK","Biddulph North","7.10.16"
"41UHGL","Biddulph South","7.10.16"
"41UHGM","Biddulph West","8.15.24"
"41UHGN","Brown Edge and Endon","7.10.16"
"41UHGP","Caverswall","7.10.16"
"41UHGQ","Cellarhead","7.10.16"
"41UHGR","Cheadle North East","8.15.24"
"41UHGS","Cheadle South East","8.15.24"
"41UHGT","Cheadle West","7.10.16"
"41UHGU","Checkley","7.10.16"
"41UHGW","Cheddleton","7.10.16"
"41UHGX","Churnet","7.10.16"
"41UHGY","Dane","8.13.21"
"41UHGZ","Forsbrook","7.10.16"
"41UHHA","Hamps Valley","8.13.21"
"41UHHB","Horton","9.17.26"
"41UHHC","Ipstones","8.13.21"
"41UHHD","Leek East","8.13.22"
"41UHHE","Leek North","1.1.1"
"41UHHF","Leek South","8.15.24"
"41UHHG","Leek West","1.1.2"
"41UHHH","Manifold","8.13.21"
"41UHHJ","Werrington","7.10.16"
"41UKFL","Amington","8.15.24"
"41UKFM","Belgrave","1.2.3"
"41UKFN","Bolehall","8.15.24"
"41UKFP","Castle","7.10.17"
"41UKFQ","Glascote","1.2.3"
"41UKFR","Mercian","8.15.24"
"41UKFS","Spital","8.15.24"
"41UKFT","Stonydelph","8.15.24"
"41UKFU","Trinity","7.10.16"
"41UKFW","Wilnecote","8.15.24"
"42UBGH","Alton","7.10.16"
"42UBGJ","Berners","7.10.16"
"42UBGK","Boxford","9.17.26"
"42UBGL","Brett Vale","9.17.26"
"42UBGM","Brook","9.17.26"
"42UBGN","Bures St Mary","9.17.26"
"42UBGP","Chadacre","9.17.26"
"42UBGQ","Dodnash","9.17.26"
"42UBGR","Glemsford and Stanstead","8.15.24"
"42UBGS","Great Cornard North","8.15.24"
"42UBGT","Great Cornard South","8.15.24"
"42UBGU","Hadleigh North","8.13.22"
"42UBGW","Hadleigh South","7.10.16"
"42UBGX","Holbrook","7.12.19"
"42UBGY","Lavenham","8.14.23"
"42UBGZ","Leavenheath","9.17.26"
"42UBHA","Long Melford","8.13.22"
"42UBHB","Lower Brett","9.17.26"
"42UBHC","Mid Samford","9.17.26"
"42UBHD","Nayland","7.12.19"
"42UBHE","North Cosford","9.17.26"
"42UBHF","Pinewood","7.11.18"
"42UBHG","South Cosford","9.17.26"
"42UBHH","Sudbury East","1.1.1"
"42UBHJ","Sudbury North","8.15.24"
"42UBHK","Sudbury South","3.5.8"
"42UBHL","Waldingfield","7.10.16"
"42UCFR","All Saints","5.7.12"
"42UCFS","Brandon East","8.13.22"
"42UCFT","Brandon West","8.15.24"
"42UCFU","Eriswell and The Rows","7.11.18"
"42UCFW","Exning","7.10.16"
"42UCFX","Great Heath","7.10.17"
"42UCFY","Iceni","8.13.21"
"42UCFZ","Lakenheath","7.11.18"
"42UCGA","Manor","9.17.26"
"42UCGB","Market","8.13.22"
"42UCGC","Red Lodge","7.11.18"
"42UCGD","St Mary's","8.13.22"
"42UCGE","Severals","7.10.17"
"42UCGF","South","8.13.21"
"42UDFS","Alexandra","5.7.12"
"42UDFT","Bixley","8.14.23"
"42UDFU","Bridge","2.4.5"
"42UDFW","Castle Hill","1.1.2"
"42UDFX","Gainsborough","1.2.3"
"42UDFY","Gipping","1.2.3"
"42UDFZ","Holywells","7.10.17"
"42UDGA","Priory Heath","1.2.3"
"42UDGB","Rushmere","1.1.2"
"42UDGC","St John's","8.13.22"
"42UDGD","St Margaret's","7.12.19"
"42UDGE","Sprites","1.2.3"
"42UDGF","Stoke Park","1.2.3"
"42UDGG","Westgate","2.4.5"
"42UDGH","Whitehouse","1.2.3"
"42UDGJ","Whitton","1.2.3"
"42UEGM","Bacton and Old Newton","7.10.16"
"42UEGN","Badwell Ash","9.17.26"
"42UEGP","Barking and Somersham","9.17.26"
"42UEGQ","Bramford and Blakenham","7.10.16"
"42UEGR","Claydon and Barham","7.10.16"
"42UEGS","Debenham","7.10.16"
"42UEGT","Elmswell and Norton","7.10.16"
"42UEGU","Eye","8.13.22"
"42UEGW","Fressingfield","8.13.21"
"42UEGX","Gislingham","9.17.26"
"42UEGY","Haughley and Wetherden","7.10.16"
"42UEGZ","Helmingham and Coddenham","9.17.26"
"42UEHA","Hoxne","8.13.21"
"42UEHB","Mendlesham","9.17.26"
"42UEHC","Needham Market","8.13.22"
"42UEHD","Onehouse","7.10.16"
"42UEHE","Palgrave","9.17.26"
"42UEHF","Rattlesden","9.17.26"
"42UEHG","Rickinghall and Walsham","7.10.16"
"42UEHH","Ringshall","7.11.18"
"42UEHJ","Stowmarket Central","8.13.22"
"42UEHK","Stowmarket North","7.10.17"
"42UEHL","Stowmarket South","8.15.24"
"42UEHM","Stowupland","7.10.16"
"42UEHN","Stradbroke and Laxfield","8.13.21"
"42UEHP","The Stonhams","9.17.26"
"42UEHQ","Thurston and Hessett","7.10.16"
"42UEHR","Wetheringsett","9.17.26"
"42UEHS","Woolpit","7.10.16"
"42UEHT","Worlingworth","8.13.21"
"42UFGL","Abbeygate","5.7.12"
"42UFGM","Bardwell","8.13.21"
"42UFGN","Barningham","9.17.26"
"42UFGP","Barrow","7.10.16"
"42UFGQ","Cavendish","9.17.26"
"42UFGR","Chedburgh","9.17.26"
"42UFGS","Clare","7.10.16"
"42UFGT","Eastgate","3.5.8"
"42UFGU","Fornham","7.10.16"
"42UFGW","Great Barton","9.17.26"
"42UFGX","Haverhill East","8.15.24"
"42UFGY","Haverhill North","8.15.24"
"42UFGZ","Haverhill South","1.1.1"
"42UFHA","Haverhill West","7.11.18"
"42UFHB","Horringer and Whelnetham","7.10.16"
"42UFHC","Hundon","7.10.16"
"42UFHD","Ixworth","7.10.16"
"42UFHE","Kedington","7.10.16"
"42UFHF","Minden","8.15.24"
"42UFHG","Moreton Hall","7.11.18"
"42UFHH","Northgate","1.2.3"
"42UFHJ","Pakenham","7.11.18"
"42UFHK","Risby","9.17.26"
"42UFHL","Risbygate","3.5.8"
"42UFHM","Rougham","7.10.16"
"42UFHN","St Olaves","1.2.3"
"42UFHP","Southgate","1.1.2"
"42UFHQ","Stanton","7.10.16"
"42UFHR","Westgate","7.10.16"
"42UFHS","Wickhambrook","9.17.26"
"42UFHT","Withersfield","9.17.26"
"42UGGW","Aldeburgh","8.14.23"
"42UGGX","Earl Soham","9.17.26"
"42UGGY","Farlingaye","8.13.22"
"42UGGZ","Felixstowe East","8.14.23"
"42UGHA","Felixstowe North","8.13.22"
"42UGHB","Felixstowe South","3.5.8"
"42UGHC","Felixstowe South East","8.14.23"
"42UGHD","Felixstowe West","1.2.3"
"42UGHE","Framlingham","8.14.23"
"42UGHF","Grundisburgh","9.17.26"
"42UGHG","Hacheston","8.13.21"
"42UGHH","Hollesley with Eyke","8.13.21"
"42UGHJ","Kesgrave East","7.11.18"
"42UGHK","Kesgrave West","8.14.23"
"42UGHL","Kyson","8.13.22"
"42UGHM","Leiston","8.13.22"
"42UGHN","Martlesham","7.12.19"
"42UGHP","Melton and Ufford","7.12.19"
"42UGHQ","Nacton","9.17.26"
"42UGHR","Orford and Tunstall","8.13.21"
"42UGHS","Otley","9.17.26"
"42UGHT","Peasenhall","8.13.21"
"42UGHU","Rendlesham","7.10.17"
"42UGHW","Riverside","8.14.23"
"42UGHX","Rushmere St Andrew","9.17.26"
"42UGHY","Saxmundham","8.13.22"
"42UGHZ","Seckford","3.5.8"
"42UGJA","Snape","8.13.21"
"42UGJB","Sutton","7.11.18"
"42UGJC","Trimleys with Kirton","7.10.16"
"42UGJD","Walberswick and Wenhaston","8.14.23"
"42UGJE","Wickham Market","8.13.22"
"42UGJF","Witnesham","9.17.26"
"42UGJG","Yoxford","8.14.23"
"42UHFY","Beccles North","8.13.22"
"42UHFZ","Beccles South","8.15.24"
"42UHGA","Blything","7.10.16"
"42UHGB","Bungay","8.13.22"
"42UHGC","Carlton","8.15.24"
"42UHGD","Carlton Colville","8.15.24"
"42UHGE","Gunton and Corton","8.14.23"
"42UHGF","Halesworth","8.13.22"
"42UHGG","Harbour","2.4.5"
"42UHGH","Kessingland","8.13.22"
"42UHGJ","Kirkley","2.4.5"
"42UHGK","Lothingland","7.10.16"
"42UHGL","Normanston","2.4.5"
"42UHGM","Oulton","7.10.16"
"42UHGN","Oulton Broad","8.14.23"
"42UHGP","Pakefield","8.13.22"
"42UHGQ","St Margaret's","1.2.3"
"42UHGR","Southwold and Reydon","8.14.23"
"42UHGS","The Saints","8.13.21"
"42UHGT","Wainford","8.13.21"
"42UHGU","Whitton","8.15.24"
"42UHGW","Worlingham","7.10.16"
"42UHGX","Wrentham","8.13.21"
"43UBFZ","Claygate","7.12.19"
"43UBGA","Cobham and Downside","7.12.19"
"43UBGB","Cobham Fairmile","7.12.19"
"43UBGC","Esher","7.12.19"
"43UBGD","Hersham North","7.12.19"
"43UBGE","Hersham South","7.12.19"
"43UBGF","Hinchley Wood","7.12.19"
"43UBGG","Long Ditton","7.12.19"
"43UBGH","Molesey East","7.12.19"
"43UBGJ","Molesey North","7.12.19"
"43UBGK","Molesey South","7.10.17"
"43UBGL","Oatlands Park","7.12.19"
"43UBGM","Oxshott and Stoke D'Abernon","9.17.26"
"43UBGN","St George's Hill","7.12.19"
"43UBGP","Thames Ditton","7.12.19"
"43UBGQ","Walton Ambleside","7.10.17"
"43UBGR","Walton Central","7.12.19"
"43UBGS","Walton North","7.10.17"
"43UBGT","Walton South","7.12.19"
"43UBGU","Weston Green","7.12.19"
"43UBGW","Weybridge North","5.7.12"
"43UBGX","Weybridge South","5.7.12"
"43UCFP","Auriol","7.12.19"
"43UCFQ","College","7.12.19"
"43UCFR","Court","7.12.20"
"43UCFS","Cuddington","7.12.19"
"43UCFT","Ewell","7.12.19"
"43UCFU","Ewell Court","7.12.19"
"43UCFW","Nonsuch","9.17.26"
"43UCFX","Ruxley","7.12.20"
"43UCFY","Stamford","7.12.19"
"43UCFZ","Stoneleigh","7.12.19"
"43UCGA","Town","5.7.12"
"43UCGB","West Ewell","7.10.17"
"43UCGC","Woodcote","7.12.19"
"43UDFY","Ash South and Tongham","7.10.17"
"43UDFZ","Ash Vale","7.11.18"
"43UDGA","Ash Wharf","7.10.17"
"43UDGB","Burpham","7.12.19"
"43UDGC","Christchurch","7.12.19"
"43UDGD","Clandon and Horsley","9.17.26"
"43UDGE","Effingham","9.17.26"
"43UDGF","Friary and St Nicolas","5.7.12"
"43UDGG","Holy Trinity","5.7.12"
"43UDGH","Lovelace","7.12.19"
"43UDGJ","Merrow","7.12.19"
"43UDGK","Normandy","9.17.26"
"43UDGL","Onslow","5.7.13"
"43UDGM","Pilgrims","9.17.26"
"43UDGN","Pirbright","7.11.18"
"43UDGP","Send","9.17.26"
"43UDGQ","Shalford","7.12.19"
"43UDGR","Stoke","7.10.17"
"43UDGS","Stoughton","7.11.18"
"43UDGT","Tillingbourne","9.17.26"
"43UDGU","Westborough","7.10.17"
"43UDGW","Worplesdon","7.12.19"
"43UEGA","Ashtead Common","7.12.19"
"43UEGB","Ashtead Park","9.17.26"
"43UEGC","Ashtead Village","7.12.19"
"43UEGD","Beare Green","7.12.19"
"43UEGE","Bookham North","7.12.19"
"43UEGF","Bookham South","9.17.26"
"43UEGG","Box Hill and Headley","8.14.23"
"43UEGH","Brockham","7.12.19"
"43UEGJ","Capel","9.17.26"
"43UEGK","Charlwood","7.12.19"
"43UEGL","Dorking North","7.12.19"
"43UEGM","Dorking South","7.12.19"
"43UEGN","Fetcham East","9.17.26"
"43UEGP","Fetcham West","9.17.26"
"43UEGQ","Holmwoods","7.10.17"
"43UEGR","Leatherhead North","7.10.17"
"43UEGS","Leatherhead South","7.12.19"
"43UEGT","Leith Hill","9.17.26"
"43UEGU","Mickleham","7.12.19"
"43UEGW","Okewood","9.17.26"
"43UEGX","Westcott","7.12.19"
"43UFFU","Banstead Village","7.12.19"
"43UFFW","Chipstead","9.17.26"
"43UFFX","Earlswood and Whitebushes","7.10.17"
"43UFFY","Horley Central","7.12.19"
"43UFFZ","Horley East","7.11.18"
"43UFGA","Horley West","7.10.17"
"43UFGB","Kingswood with Burgh Heath","9.17.26"
"43UFGC","Meadvale and St John's","7.12.19"
"43UFGD","Merstham","7.12.20"
"43UFGE","Nork","9.17.26"
"43UFGF","Preston","1.2.3"
"43UFGG","Redhill East","5.7.12"
"43UFGH","Redhill West","7.12.20"
"43UFGJ","Reigate Central","7.12.19"
"43UFGK","Reigate Hill","7.12.19"
"43UFGL","Salfords and Sidlow","9.17.26"
"43UFGM","South Park and Woodhatch","7.10.17"
"43UFGN","Tadworth and Walton","7.12.19"
"43UFGP","Tattenhams","7.12.19"
"43UGFQ","Addlestone Bourneside","8.13.22"
"43UGFR","Addlestone North","7.10.17"
"43UGFS","Chertsey Meads","7.10.17"
"43UGFT","Chertsey St Ann's","7.10.17"
"43UGFU","Chertsey South and Row Town","7.10.16"
"43UGFW","Egham Hythe","7.10.17"
"43UGFX","Egham Town","5.7.12"
"43UGFY","Englefield Green East","5.7.13"
"43UGFZ","Englefield Green West","5.7.13"
"43UGGA","Foxhills","7.12.19"
"43UGGB","New Haw","7.10.17"
"43UGGC","Thorpe","7.10.16"
"43UGGD","Virginia Water","7.12.19"
"43UGGE","Woodham","7.10.16"
"43UHFS","Ashford Common","7.10.17"
"43UHFT","Ashford East","7.12.19"
"43UHFU","Ashford North and Stanwell South","7.10.17"
"43UHFW","Ashford Town","7.12.19"
"43UHFX","Halliford and Sunbury West","7.10.17"
"43UHFY","Laleham and Shepperton Green","7.10.17"
"43UHFZ","Riverside and Laleham","7.12.19"
"43UHGA","Shepperton Town","7.12.19"
"43UHGB","Staines","5.7.12"
"43UHGC","Staines South","7.10.17"
"43UHGD","Stanwell North","7.10.17"
"43UHGE","Sunbury Common","7.10.17"
"43UHGF","Sunbury East","7.12.19"
"43UJFS","Bagshot","7.11.18"
"43UJFT","Bisley","7.11.18"
"43UJFU","Chobham","9.17.26"
"43UJFW","Frimley","7.12.19"
"43UJFX","Frimley Green","7.11.18"
"43UJFY","Heatherside","7.11.18"
"43UJFZ","Lightwater","9.17.26"
"43UJGA","Mytchett and Deepcut","7.11.18"
"43UJGB","Old Dean","1.2.3"
"43UJGC","Parkside","9.17.26"
"43UJGD","St Michaels","7.10.17"
"43UJGE","St Pauls","9.17.26"
"43UJGF","Town","7.12.19"
"43UJGG","Watchetts","7.12.19"
"43UJGH","West End","9.17.26"
"43UJGJ","Windlesham","9.17.26"
"43UKFY","Bletchingley and Nutfield","7.12.19"
"43UKFZ","Burstow","9.17.26"
"43UKGA","Chaldon","9.17.26"
"43UKGB","Dormansland and Felcourt","9.17.26"
"43UKGC","Felbridge","9.17.26"
"43UKGD","Godstone","7.12.19"
"43UKGE","Harestone","7.12.19"
"43UKGF","Limpsfield","9.17.26"
"43UKGG","Lingfield and Crowhurst","7.12.19"
"43UKGH","Oxted North and Tandridge","7.12.19"
"43UKGJ","Oxted South","7.12.19"
"43UKGK","Portley","7.12.19"
"43UKGL","Queens Park","7.12.19"
"43UKGM","Tatsfield and Titsey","9.17.26"
"43UKGN","Valley","7.12.20"
"43UKGP","Warlingham East and Chelsham and Farleig","7.12.19"
"43UKGQ","Warlingham West","7.12.19"
"43UKGR","Westway","7.10.17"
"43UKGS","Whyteleafe","7.12.20"
"43UKGT","Woldingham","9.17.26"
"43ULGF","Alfold","8.14.23"
"43ULGG","Blackheath and Wonersh","9.17.26"
"43ULGH","Bramley","7.12.19"
"43ULGJ","Chiddingfold and Dunsfold","9.17.26"
"43ULGK","Cranleigh East","7.12.19"
"43ULGL","Cranleigh West","9.17.26"
"43ULGM","Elstead and Thursley","9.17.26"
"43ULGN","Ewhurst","9.17.26"
"43ULGP","Farnham Bourne","9.17.26"
"43ULGQ","Farnham Castle","5.7.12"
"43ULGR","Farnham Firgrove","7.12.19"
"43ULGS","Farnham Hale and Heath End","7.11.18"
"43ULGT","Farnham Moor Park","7.12.19"
"43ULGU","Farnham Shortheath and Boundstone","7.12.19"
"43ULGW","Farnham Upper Hale","7.10.16"
"43ULGX","Farnham Weybourne and Badshot Lea","7.12.19"
"43ULGY","Farnham Wrecclesham and Rowledge","7.12.19"
"43ULGZ","Frensham","9.17.26"
"43ULHA","Godalming Binscombe","7.10.17"
"43ULHB","Godalming Central and Ockford","7.10.17"
"43ULHC","Godalming Charterhouse","7.12.19"
"43ULHD","Godalming Farncombe and Catteshall","7.10.17"
"43ULHE","Godalming Holloway","9.17.26"
"43ULHF","Haslemere Critchmere and Shottermill","7.12.19"
"43ULHG","Haslemere East and Grayswood","7.12.19"
"43ULHH","Hindhead","7.12.19"
"43ULHJ","Milford","7.12.19"
"43ULHK","Shamley Green and Cranleigh North","9.17.26"
"43ULHL","Witley and Hambledon","7.12.19"
"43UMFS","Brookwood","7.11.18"
"43UMFT","Byfleet","7.10.17"
"43UMFU","Goldsworth East","5.7.12"
"43UMFW","Goldsworth West","7.10.17"
"43UMFX","Hermitage and Knaphill South","7.10.17"
"43UMFY","Horsell East and Woodham","9.17.26"
"43UMFZ","Horsell West","7.12.19"
"43UMGA","Kingfield and Westfield","7.10.17"
"43UMGB","Knaphill","7.11.18"
"43UMGC","Maybury and Sheerwater","6.8.14"
"43UMGD","Mayford and Sutton Green","9.17.26"
"43UMGE","Mount Hermon East","7.12.19"
"43UMGF","Mount Hermon West","5.7.12"
"43UMGG","Old Woking","7.10.17"
"43UMGH","Pyrford","9.17.26"
"43UMGJ","St John's and Hook Heath","7.12.19"
"43UMGK","West Byfleet","7.12.19"
"44UBFW","Arley and Whitacre","8.15.24"
"44UBFX","Atherstone Central","1.2.3"
"44UBFY","Atherstone North","8.15.24"
"44UBFZ","Atherstone South and Mancetter","8.15.24"
"44UBGA","Baddesley and Grendon","8.15.24"
"44UBGB","Coleshill North","8.15.24"
"44UBGC","Coleshill South","1.1.2"
"44UBGD","Curdworth","9.17.26"
"44UBGE","Dordon","8.15.24"
"44UBGF","Fillongley","9.17.26"
